model_name,hidden_sizes,dropout_prob,epoch,train_loss,train_acc,test_loss,test_acc
MLP Multi-Strato,"[512, 256, 128]",0.4,13,0.06526161562492534,0.99385,0.05895331610203288,0.9829
MLP Multi-Strato,"[512, 256, 128]",0.4,14,0.06459437001016,0.9950166666666667,0.06292299453983255,0.9829
MLP Multi-Strato,"[512, 256, 128]",0.4,15,0.05759794339051109,0.9948,0.062497179132001694,0.983
MLP Multi-Strato,"[512, 256, 128]",0.4,16,0.0560022425025638,0.99495,0.06030861153726907,0.9846
MLP Multi-Strato,"[512, 256, 128]",0.4,17,0.05764948334922192,0.99535,0.062038947844441764,0.9832
MLP Multi-Strato,"[512, 256, 128]",0.4,18,0.05400154622656895,0.9954333333333333,0.07121337746972545,0.9816
MLP Multi-Strato,"[512, 256, 128]",0.4,19,0.05414498704763602,0.9948,0.07344716947467894,0.9825
MLP Multi-Strato,"[512, 256, 128]",0.4,20,0.052124242884601386,0.9957833333333334,0.06757366155041589,0.9827
MLP Multi-Strato,"[512, 256, 128]",0.6,1,0.5966517908105464,0.9498,0.17385825460564486,0.95
MLP Multi-Strato,"[512, 256, 128]",0.6,2,0.292743619205728,0.9651333333333333,0.13075245077916292,0.9625
MLP Multi-Strato,"[512, 256, 128]",0.6,3,0.24206806687530932,0.9700666666666666,0.12312315062905627,0.9645
MLP Multi-Strato,"[512, 256, 128]",0.6,4,0.20976272678133775,0.9730833333333333,0.11526534117867321,0.967
MLP Multi-Strato,"[512, 256, 128]",0.6,5,0.19553462741598646,0.9774,0.10130162035710771,0.9718
MLP Multi-Strato,"[512, 256, 128]",0.6,6,0.1832920489614325,0.9772333333333333,0.099059147226272,0.9727
MLP Multi-Strato,"[512, 256, 128]",0.6,7,0.17453494037328754,0.9802166666666666,0.0886558709006968,0.9744
MLP Multi-Strato,"[512, 256, 128]",0.6,8,0.1707751112324851,0.9826666666666667,0.09162561150616413,0.9753
MLP Multi-Strato,"[512, 256, 128]",0.6,9,0.1603892597276519,0.98315,0.08426617439987309,0.9766
MLP Multi-Strato,"[512, 256, 128]",0.6,10,0.15570253901866707,0.9851833333333333,0.08431631810696982,0.9757
MLP Multi-Strato,"[512, 256, 128]",0.6,11,0.15371698886156082,0.9848166666666667,0.08265343763264067,0.9772
MLP Multi-Strato,"[512, 256, 128]",0.6,12,0.14442669009682593,0.9854666666666667,0.08108370830105062,0.9767
MLP Multi-Strato,"[512, 256, 128]",0.6,13,0.1356294151824484,0.98615,0.08608867922269187,0.9764
MLP Multi-Strato,"[512, 256, 128]",0.6,14,0.14390466097337223,0.98625,0.07956423515400884,0.9787
MLP Multi-Strato,"[512, 256, 128]",0.6,15,0.13516405559599654,0.9865166666666667,0.08159885601643613,0.9782
MLP Multi-Strato,"[512, 256, 128]",0.6,16,0.13428397853173682,0.9879333333333333,0.07617413627758651,0.9793
MLP Multi-Strato,"[512, 256, 128]",0.6,17,0.13523130116066825,0.9885166666666667,0.0790231034388853,0.9789
MLP Multi-Strato,"[512, 256, 128]",0.6,18,0.12785760996374748,0.989,0.07612414107309552,0.9779
MLP Multi-Strato,"[512, 256, 128]",0.6,19,0.12987831065149258,0.98955,0.07663228810692596,0.9799
MLP Multi-Strato,"[512, 256, 128]",0.6,20,0.12468622007302002,0.9899666666666667,0.07476569539972797,0.9811
